product_id,name,slug,permalink,sku,attr_category1,attr_category2,attr_format,attr_finish,attr_quality,attr_priority,other_attributes,categories,is_in_stock,is_on_backorder,is_purchasable,stock_status,stock_text,low_stock_remaining,on_sale,price,regular_price,sale_price,currency,price_html,weight,formatted_weight,dimensions_length,dimensions_width,dimensions_height,formatted_dimensions,short_description,description,image_count,image_urls_full,image_urls_thumb,image_filenames_local,scrape_timestamp
32429,Cream Marble Tile,cream-marble-tile-2,https://marenostone.com/product/cream-marble-tile-2/,P/11/01,Marble,Cream,Tile,Polished,A,Warm,,Marble,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/Cream-Marble-Tile-P1101-3.jpg | https://marenostone.com/wp-content/uploads/2026/02/Cream-Marble-Tile-P1101-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/Cream-Marble-Tile-P1101-2.jpg,https://marenostone.com/wp-content/uploads/2026/02/Cream-Marble-Tile-P1101-3-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Cream-Marble-Tile-P1101-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Cream-Marble-Tile-P1101-2-600x450.jpg,32429_1.jpg | 32429_2.jpg | 32429_3.jpg,2026-06-01 15:52:29
32904,Pietra Gray Marble Slab,escato-marble-slab-2,https://marenostone.com/product/escato-marble-slab-2/,P/11/07,Marble,Grey,Slab,Polished,A,Hot,,Marble,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/Pietra-Grey-Marble-Slab-P1107-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pietra-Grey-Marble-Slab-P1107-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pietra-Grey-Marble-Slab-P1107-3.jpg,https://marenostone.com/wp-content/uploads/2026/02/Pietra-Grey-Marble-Slab-P1107-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pietra-Grey-Marble-Slab-P1107-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pietra-Grey-Marble-Slab-P1107-3-600x450.jpg,32904_1.jpg | 32904_2.jpg | 32904_3.jpg,2026-06-01 15:52:29
32417,Black Granite Tile,black-granite-tile,https://marenostone.com/product/black-granite-tile/,P/07/07,Granite,Black,Tile,Polished,A,Cold,,Granite,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/Black-Granite-Tile-P0707-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/Black-Granite-Tile-P0707-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/Black-Granite-Tile-P0707-3.jpg,https://marenostone.com/wp-content/uploads/2026/02/Black-Granite-Tile-P0707-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Black-Granite-Tile-P0707-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Black-Granite-Tile-P0707-3-600x450.jpg,32417_1.jpg | 32417_2.jpg | 32417_3.jpg,2026-06-01 15:52:29
32543,Tiger Black Granite Slab,tiger-black-granite-slab-13,https://marenostone.com/product/tiger-black-granite-slab-13/,P/04/03,Granite,Black,Slab,Polished,Premium,Hot,,Granite,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0403-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0403-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0403-3.jpg,https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0403-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0403-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0403-3-600x450.jpg,32543_1.jpg | 32543_2.jpg | 32543_3.jpg,2026-06-01 15:52:29
32549,Tiger Black Granite Slab,tiger-black-granite-slab-12,https://marenostone.com/product/tiger-black-granite-slab-12/,P/04/04,Granite,Black,Slab,Other,A,Hot,,Granite,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0404-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0404-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0404-3-1.jpg,https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0404-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0404-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Tiger-Black-Granite-Slab-P0404-3-1-600x450.jpg,32549_1.jpg | 32549_2.jpg | 32549_3.jpg,2026-06-01 15:52:29
32601,White Travertine Tile,white-travertine-tile-2,https://marenostone.com/product/white-travertine-tile-2/,P/08/07,Travertine,White,Tile,Polished,B,Hot,,Travertine,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0807-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0807-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0807-3.jpg,https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0807-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0807-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0807-3-600x450.jpg,32601_1.jpg | 32601_2.jpg | 32601_3.jpg,2026-06-01 15:52:29
32591,White Travertine Tile,white-travertine-tile,https://marenostone.com/product/white-travertine-tile/,P/08/06,Travertine,White,Tile,Polished,B,Hot,,Travertine,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0806-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0806-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0806-3.jpg,https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0806-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0806-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Travertine-Tile-P0806-3-600x450.jpg,32591_1.jpg | 32591_2.jpg | 32591_3.jpg,2026-06-01 15:52:29
32504,Pink Onyx Slab,pink-onyx-slab-2,https://marenostone.com/product/pink-onyx-slab-2/,P/10/09,Onyx,Pink,Slab,Polished,A,Warm,,Onyx,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/Pink-Onyx-Slab-P1009-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pink-Onyx-Slab-P1009-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pink-Onyx-Slab-P1009-3.jpg,https://marenostone.com/wp-content/uploads/2026/02/Pink-Onyx-Slab-P1009-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pink-Onyx-Slab-P1009-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Pink-Onyx-Slab-P1009-3-600x450.jpg,32504_1.jpg | 32504_2.jpg | 32504_3.jpg,2026-06-01 15:52:29
32503,White Onyx Slab,white-onyx-slab,https://marenostone.com/product/white-onyx-slab/,P/10/08,Onyx,White,Slab,Polished,A,Warm,,Onyx,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/White-Onyx-Slab-P1008-3.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Onyx-Slab-P1008-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Onyx-Slab-P1008-2.jpg,https://marenostone.com/wp-content/uploads/2026/02/White-Onyx-Slab-P1008-3-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Onyx-Slab-P1008-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/White-Onyx-Slab-P1008-2-600x450.jpg,32503_1.jpg | 32503_2.jpg | 32503_3.jpg,2026-06-01 15:52:29
32267,Labradorite Blue Granite Slab,labradorite-blue-granite-slab,https://marenostone.com/product/labradorite-blue-granite-slab/,P/06/24,Granite,Blue,Slab,Polished,A,Cold,,Granite,True,False,False,in-stock,,,False,0,0,0,USD,,,N/A,,,,N/A,,,3,https://marenostone.com/wp-content/uploads/2026/02/Labradorite-Blue-Granite-Slab-P0624-1.jpg | https://marenostone.com/wp-content/uploads/2026/02/Labradorite-Blue-Granite-Slab-P0624-2.jpg | https://marenostone.com/wp-content/uploads/2026/02/Labradorite-Blue-Granite-Slab-P0624-3.jpg,https://marenostone.com/wp-content/uploads/2026/02/Labradorite-Blue-Granite-Slab-P0624-1-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Labradorite-Blue-Granite-Slab-P0624-2-600x450.jpg | https://marenostone.com/wp-content/uploads/2026/02/Labradorite-Blue-Granite-Slab-P0624-3-600x450.jpg,32267_1.jpg | 32267_2.jpg | 32267_3.jpg,2026-06-01 15:52:29
